id,lesson_id,japanese,english,reading
4,2,食べる,to eat,たべる
5,2,水,water,みず
8,4,猫,cat,ねこ
10,6,みます,check / take a look at,mimasu
11,6,さがします,look for / search for,sagashimasu
12,6,[じかんに~] おくれます,be late [for an appointment/time],okuremasu
13,6,[じかんに~] まにあいます,be in time [for an appointment/time],mani aimasu
14,6,やります,do,yarimasu
15,6,ひろいます,pick up,hiroimasu
16,6,れんらくします,contact / get in touch with,renrakushimasu
17,6,[にもつが~] かたづきます,[boxes/room] be put in order / tidied up,katazukimasu
18,6,[ごみを~] だします,put out [the garbage],dashimasu
19,6,[ごみが~] もえます,[garbage] burn,moemasu
20,6,つごうがいい,convenient (regarding time),tsugō ga ii
21,6,つごうがわるい,inconvenient (regarding time),tsugō ga warui
22,6,きぶんがいい,feel well / in a good mood,kibun ga ii
23,6,きぶんがわるい,feel ill / feel sick,kibun ga warui
24,6,こわい,scary / be afraid of,kowai
25,6,しんぶんしゃ,newspaper publishing company,shinbunsha
26,6,じゅうどう,judo,jūdō
27,6,うんどうかい,athletic meeting / sports day,undōkai
28,6,ばしょ,place / location,basho
29,6,ボランティア,volunteer,borantia
30,6,～べん,... dialect,~ben
31,6,ごみ,garbage / rubbish / waste,gomi
32,6,おきば,place where something is kept/put,okiba
33,6,よこ,side / next to,yoko
34,6,びん,bottle,bin
35,6,かん,can,kan
36,6,おゆ,hot water,oyu
37,6,ガス,gas,gas
38,6,かいしゃ,company,kaisha
39,6,うちゅう,space / universe,uchū
40,6,うちゅうせん,spaceship,uchūsen
41,6,うちゅうひこうし,astronaut,uchūhikōshi
42,6,さいふ,wallet / purse,saifu
43,6,こっかいぎじどう,the Diet Building (Parliament),kokkai gijidō
44,6,へいじつ,weekday,heijitsu
45,6,こんど,next time / another time,kondo
46,6,ずいぶん,very / pretty / considerably,zuibun
47,6,ちょくせつ,directly,chokutsu
48,6,いつでも,anytime,itsudemo
49,6,どこでも,anywhere,dokodemo
50,6,だれでも,anybody,daredemo
51,6,なんでも,anything,nandemo
52,6,こんな～,like this / this kind of...,konna ~
53,6,そんな～,like that / that kind of...,sonna ~
54,6,あんな～,like that / that kind of...,anna ~
55,6,こまったなあ,What shall I do? / I'm in trouble.,komatta nā
56,7,みます,check / take a look at,mimasu
57,7,さがします,look for / search for,sagashimasu
58,7,[じかんに~] おくれます,be late [for an appointment/time],okuremasu
59,7,[じかんに~] まにあいます,be in time [for an appointment/time],mani aimasu
60,7,やります,do,yarimasu
61,7,ひろいます,pick up,hiroimasu
62,7,れんらくします,contact / get in touch with,renrakushimasu
63,7,[にもつが~] かたづきます,[boxes/room] be put in order / tidied up,katazukimasu
64,7,[ごみを~] だします,put out [the garbage],dashimasu
65,7,[ごみが~] もえます,[garbage] burn,moemasu
66,7,つごうがいい,convenient (regarding time),tsugō ga ii
67,7,つごうがわるい,inconvenient (regarding time),tsugō ga warui
68,7,きぶんがいい,feel well / in a good mood,kibun ga ii
69,7,きぶんがわるい,feel ill / feel sick,kibun ga warui
70,7,こわい,scary / be afraid of,kowai
71,7,しんぶんしゃ,newspaper publishing company,shinbunsha
72,7,じゅうどう,judo,jūdō
73,7,うんどうかい,athletic meeting / sports day,undōkai
74,7,ばしょ,place / location,basho
75,7,ボランティア,volunteer,borantia
76,7,～べん,... dialect,~ben
77,7,ごみ,garbage / rubbish / waste,gomi
